tweet_id,author,text,date,url
000872,Vallily09,. suite à un impact foudre ma mère de 85 ans est privée de téléphone et internet depuis début août. nous arrivons enfin à avoir un rendez vous technicien. et personne ne vient! excuses de votre part. autre rendez vous et même chose personne !!,2024-08-27 08:56:31+00:00,https://twitter.com/Vallily09/status/1828355905001299977
001753,CharlieMP_Blue,message en rimes riches à,2024-10-05 15:17:26+00:00,https://twitter.com/CharlieMP_Blue/status/1842584893261566113
001079,fahdlamboo,bah en 2024 toujours galère ..,2024-09-06 08:35:37+00:00,https://twitter.com/fahdlamboo/status/1831974524352684075
000033,michfrapp,"nnen 3 ans l’équipe technique de free (le « boc » m’a t’on dit) n’est pas capable d’amener 3 mètres (ou moins!) de câble fibre, afin que j’ai la fibre (cercle rouge) comme mes voisines dont nos maisons sont mitoyennes (cercles verts). satisfaisant?!",2023-10-10 16:01:33+00:00,https://twitter.com/michfrapp/status/1711773973401235737
001234,Amael_Mrn,j’en peux plus ma box fait que de revenir sur étape 3 après 30 minutes à chaque fois pitié,2024-09-13 11:13:40+00:00,https://twitter.com/Amael_Mrn/status/1834551012125810748
000803,Freebox,"la messagerie x n’est plus disponible, mais je vous propose de nous contacter via messenger &gt; avez également à disposition le 3244 et notre compte instagram.nntony - free",2024-08-23 14:07:07+00:00,https://twitter.com/Freebox/status/1826984519636803584
000359,Kael1812,"ca doit faire la 15ème coupure réseau en 2 moisnnparfois 1 h, parfois toute la journéennet quand un conseiller te contact, il te sort a chaque foisnnje ne vois aucun problème sur votre lignennben ouai , 3 jours après c'est logique !!nnpire réseau de france..",2024-07-30 00:14:57+00:00,https://twitter.com/Kael1812/status/1818077787183608201
002045,AlphaGeekV2,"cela reste à confirmer par /, mais il semblerait que des données soient sorties de chez eux… nnsoyez vigilants !",2024-10-22 09:54:29+00:00,https://twitter.com/AlphaGeekV2/status/1848664211624255711
003698,Roni_SRFC,ça viens de couper à l’instant en bretagne je vais serrer,2025-06-08 17:00:30+00:00,https://twitter.com/Roni_SRFC/status/1931758242788671508
001310,daniel_ma46584,"pas d'internet depuis samedi midi à garches et aucune information de free , je vais résilier rapido",2024-09-17 16:19:06+00:00,https://twitter.com/daniel_ma46584/status/1836077430294925573
000808,yohann_sah,ce bon monsieur ne m’aideras jamais je vais me passer la corde au cou (130h annoncées pour télécharger 100go…),2024-08-23 18:42:03+00:00,https://twitter.com/yohann_sah/status/1827053708821020884
002237,steven_bellier,"bonjour cela fait 7 mois qu'on nous balade pour notre connexion fibre. le passage de plusieurs technicien n'y change rien. devra t'on résilier? l'assistance a deja été contacté a plusieurs reprise, mais aucune solution de proposer a part patienter...",2024-11-02 20:37:25+00:00,https://twitter.com/steven_bellier/status/1852812276757299275
000257,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés relooking7500. nnretrouvez-moi dès à présent sur messengern sommes également disponibles via d'autres canauxn – free",2024-07-25 07:31:31+00:00,https://twitter.com/Freebox/status/1816375715693989953
001232,arcandyss,ps: bloqué en etape 2 sur la freebox depuis mardi lourd,2024-09-13 09:38:59+00:00,https://twitter.com/arcandyss/status/1834527186579075399
000015,Freebox,rt : une rupture de fibre entraîne des perturbations de service depuis 14h30 sur une partie de strasbourg / koenigshoffen / crone…,2021-12-10 13:13:38+00:00,https://twitter.com/Freebox/status/1469294236440969226
001451,Florentpp,demande au syndic ou à free,2024-09-24 13:39:11+00:00,https://twitter.com/Florentpp/status/1838573901040832913
002813,Moniki23694699,avant de faire des offres régler vos problèmes de box ce sera mieux,2024-12-05 19:28:21+00:00,https://twitter.com/Moniki23694699/status/1864753696342483396
003062,Freebox,"bonjour,nnla messagerie privée x n’est plus disponiblensi vous rencontrez toujours des difficultés, retrouvez-moi dès à présent sur messenger :n▶️ sommes également disponibles via d'autres canaux :n▶️ - free",2025-03-12 12:18:37+00:00,https://twitter.com/Freebox/status/1899797173052600514
000806,yohann_sah,vos employés qui expliquent que si on a pas internet c’est « la faute a pas de chance » me donnent envie de passer chez un autre opérateur de façon très malchanceuse,2024-08-23 15:56:20+00:00,https://twitter.com/yohann_sah/status/1827012005007405104
001923,YouxiLevrai,"c'est plus possible vos plantages régulier, je travail sur internet et ça m'empeche de travailler correctement avec mes collaborateur.",2024-10-15 23:39:20+00:00,https://twitter.com/YouxiLevrai/status/1846335079737446788
002119,vincelyn34,"c’est incroyable mpossible de joindre quelqu'un !! ouverture de ligne , rv du technicien fibre prévu 21 octobre personne est venu, pas d’appel pas de réponse au tchat. aucune possibilite d’avoir une interlocuteur...",2024-10-24 06:06:09+00:00,https://twitter.com/vincelyn34/status/1849331524837036508
